EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
54,100,4.59429e-06,217662,0.000496183,2012.29,2.17662e+07
55,100,4.58249e-06,218222,0.000504074,1981.78,2.18222e+07
56,100,4.58735e-06,217991,0.000513783,1943.87,2.17991e+07
57,100,4.58768e-06,217975,0.000522996,1910.18,2.17975e+07
58,100,4.60993e-06,216923,0.000534752,1867.94,2.16923e+07
59,100,4.60489e-06,217161,0.000543377,1839.09,2.17161e+07
60,100,4.58839e-06,217941,0.000550607,1814.9,2.17941e+07
61,100,4.5597e-06,219313,0.000556283,1795.63,2.19313e+07
62,100,4.5565e-06,219467,0.000565006,1768.35,2.19467e+07
63,100,4.54039e-06,220245,0.000572089,1746.7,2.20245e+07
64,100,4.59071e-06,217831,0.00058761,1700.17,2.17831e+07
65,100,4.5906e-06,217837,0.000596778,1672.96,2.17837e+07
66,100,4.58145e-06,218271,0.000604752,1651.65,2.18271e+07
67,100,4.5635e-06,219130,0.000611509,1633.19,2.1913e+07
68,100,4.54533e-06,220006,0.000618165,1616.08,2.20006e+07
69,100,4.60279e-06,217260,0.000635185,1571.86,2.1726e+07
70,100,4.03359e-06,247918,0.000564703,1769.32,2.47918e+07
71,100,4.3984e-06,227356,0.000624572,1599.89,2.27356e+07
72,100,4.61886e-06,216504,0.000665116,1502.35,2.16504e+07
73,100,4.58565e-06,218072,0.000669504,1490.92,2.18072e+07
74,100,4.37435e-06,228605,0.000647404,1542.22,2.28605e+07
75,100,4.57782e-06,218445,0.000686673,1452.74,2.18445e+07
76,100,4.45783e-06,224324,0.00067759,1474.35,2.24324e+07
77,100,4.0494e-06,246950,0.000623608,1601.4,2.4695e+07
78,100,4.01872e-06,248836,0.00062692,1592.96,2.48836e+07
79,100,3.93666e-06,254023,0.000621992,1604.98,2.54023e+07
80,100,3.98986e-06,250636,0.000638377,1564.27,2.50636e+07
81,100,4.02281e-06,248582,0.000651696,1531.96,2.48582e+07
82,100,3.98749e-06,250784,0.000653949,1526.33,2.50784e+07
83,100,3.99657e-06,250214,0.000663431,1505.13,2.50214e+07
84,100,4.02415e-06,248499,0.000676058,1476.58,2.48499e+07
85,100,3.95211e-06,253030,0.000671858,1486.08,2.5303e+07
86,100,4.03129e-06,248060,0.000693381,1439.52,2.4806e+07
87,100,3.93924e-06,253856,0.000685427,1456.74,2.53856e+07
88,100,4.03223e-06,248002,0.000709673,1406.95,2.48002e+07
89,100,4.04726e-06,247081,0.000720412,1385.74,2.47081e+07
90,100,4.01103e-06,249312,0.000721986,1383.03,2.49312e+07
91,100,4.08199e-06,244979,0.000742922,1344.08,2.44979e+07
92,100,4.04837e-06,247013,0.000744899,1340.51,2.47013e+07
93,100,4.07413e-06,245451,0.000757787,1317.66,2.45451e+07
94,100,4.05023e-06,246900,0.000761443,1311.3,2.469e+07
95,100,1.95117e-08,5.12512e+07,3.70723e-06,269731,5.12512e+09
96,100,3.83314e-06,260883,0.000735963,1349.22,2.60883e+07
97,100,3.64435e-06,274398,0.000707003,1404.51,2.74398e+07
98,100,3.6508e-06,273913,0.000715556,1388.58,2.73913e+07
99,100,3.78216e-06,264399,0.000748869,1326.55,2.64399e+07
100,100,4.15759e-06,240524,0.000831517,1193.9,2.40524e+07
